"Relative Time (Process)","train50-dali - system/gpu.0.gpu","train50-dali - system/gpu.0.gpu__MIN","train50-dali - system/gpu.0.gpu__MAX"
"3195.726035083","77","77","77"
"3210.726331001","83","83","83"
"3225.725211349","90","90","90"
"3240.725197927","90","90","90"
"3255.725279282","81","81","81"
"3270.726661801","97","97","97"
"3285.725340659","84","84","84"
"3300.724776808","77","77","77"
"3315.725456555","80","80","80"
"3330.726779304","78","78","78"
"3345.72630164","81","81","81"
"3360.725740714","95","95","95"
"3375.725854761","94","94","94"
"3390.725899703","84","84","84"
"3405.727603415","74","74","74"
"3420.725167556","71","71","71"
"3435.725286223","98","98","98"
"3450.725611873","88","88","88"
"3465.726309027","64","64","64"
"3480.725884773","58","58","58"
"3495.72522929","85","85","85"
"3510.725750448","69","69","69"
"3525.726291872","95","95","95"
"3540.725690194","91","91","91"
"3555.725183904","81","81","81"
"3570.725719573","87","87","87"
"3585.727478663","80","80","80"
"3600.727463416","77","77","77"
"3615.725147949","86","86","86"
"3630.725346674","67","67","67"
"3645.725075233","71","71","71"
"3660.72610651","93","93","93"
"3675.725200307","94","94","94"
"3690.725191158","96","96","96"
"3705.725377902","67","67","67"
"3720.726403311","72","72","72"
"3735.725671888","76","76","76"
"3750.725433951","90","90","90"
"3765.725780587","93","93","93"
"3780.727111139","66","66","66"
"3795.726090482","77","77","77"
"3810.725483114","81","81","81"
"3825.725668746","81","81","81"
"3840.727004421","85","85","85"
"3855.726579225","93","93","93"
"3870.725315661","80","80","80"
"3885.72580781","95","95","95"
"3900.725257186","84","84","84"
"3915.727678165","95","95","95"
"3930.725541875","96","96","96"
"3945.725015027","89","89","89"
"3960.724815848","95","95","95"
"3975.725774163","68","68","68"
"3990.725648295","75","75","75"
"4005.724924098","96","96","96"
"4020.725700854","82","82","82"
"4035.726105949","83","83","83"
"4050.725239394","72","72","72"
"4065.725970255","78","78","78"
"4080.725436708","90","90","90"
"4095.726535444","80","80","80"
"4110.726202096","73","73","73"
"4125.725374068","82","82","82"
"4140.724822414","78","78","78"
"4155.726442904","98","98","98"
"4170.726481746","79","79","79"
"4185.724859701","94","94","94"
"4200.725166123","77","77","77"
"4215.726727464","76","76","76"
"4230.725304697","81","81","81"
"4245.725218302","76","76","76"
"4260.725387745","73","73","73"
"4275.726872105","82","82","82"
"4290.725884609","91","91","91"
"4305.725089611","87","87","87"
"4320.725186668","71","71","71"
"4335.726530921","88","88","88"
"4350.725784307","94","94","94"
"4365.725163486","69","69","69"
"4380.725483793","75","75","75"
"4395.726688388","67","67","67"
"4410.726073115","62","62","62"
"4425.725169343","79","79","79"
