"Relative Time (Process)","train50-no-dali - system/gpu.0.gpu","train50-no-dali - system/gpu.0.gpu__MIN","train50-no-dali - system/gpu.0.gpu__MAX"
"13470.632777624","89","89","89"
"13485.631963978","79","79","79"
"13500.632737251","97","97","97"
"13515.638352662","96","96","96"
"13530.632552356","82","82","82"
"13545.632797818","96","96","96"
"13560.63262636","89","89","89"
"13575.633136814","99","99","99"
"13590.634432955","93","93","93"
"13605.631669979","90","90","90"
"13620.632588754","92","92","92"
"13635.63260849","73","73","73"
"13650.635290473","95","95","95"
"13665.631777104","90","90","90"
"13680.632690326","90","90","90"
"13695.632492179","89","89","89"
"13710.633008135","90","90","90"
"13725.632134527","80","80","80"
"13740.631992671","74","74","74"
"13755.632332169","91","91","91"
"13770.633317023","95","95","95"
"13785.632916626","78","78","78"
"13800.631847394","86","86","86"
"13815.632523994","82","82","82"
"13830.633898242","83","83","83"
"13845.633438227","90","90","90"
"13860.631875489","66","66","66"
"13875.632199408","81","81","81"
"13890.633806386","96","96","96"
"13905.634141201","90","90","90"
"13920.632307921","87","87","87"
"13935.6321209","92","92","92"
"13950.632049807","96","96","96"
"13965.635040893","77","77","77"
"13980.632711305","93","93","93"
"13995.631865194","92","92","92"
"14010.631862467","81","81","81"
"14025.632942889","83","83","83"
"14040.631950595","76","76","76"
"14055.631773656","98","98","98"
"14070.632606908","92","92","92"
"14085.634420556","85","85","85"
"14100.632660873","97","97","97"
"14115.632750095","88","88","88"
"14130.632691431","96","96","96"
"14145.633970713","88","88","88"
"14160.634218068","81","81","81"
"14175.63247423","87","87","87"
"14190.632056587","88","88","88"
"14205.632838144","70","70","70"
"14220.632232254","95","95","95"
"14235.632498988","89","89","89"
"14250.632942555","91","91","91"
"14265.633062985","91","91","91"
"14280.635046305","83","83","83"
"14295.632315323","69","69","69"
"14310.631977253","89","89","89"
"14325.632548154","98","98","98"
"14340.632861935","89","89","89"
"14355.632456262","95","95","95"
"14370.632086674","72","72","72"
"14385.632895977","92","92","92"
"14400.633191067","90","90","90"
"14415.632513493","73","73","73"
"14430.632727563","93","93","93"
"14445.632301983","95","95","95"
"14460.632966825","88","88","88"
"14475.633602508","91","91","91"
"14490.635364222","96","96","96"
"14505.632302158","90","90","90"
"14520.632365493","95","95","95"
"14535.632192724","73","73","73"
"14550.634232501","91","91","91"
"14565.631958474","93","93","93"
"14580.632108359","87","87","87"
"14595.632445106","85","85","85"
"14610.632810292","91","91","91"
"14625.632046748","91","91","91"
"14640.632023898","95","95","95"
"14655.632741381","89","89","89"
"14670.632458764","77","77","77"
"14685.634116082","95","95","95"
"14700.632775343","81","81","81"
"14715.632864096","90","90","90"
"14730.633222749","89","89","89"
"14745.632850271","94","94","94"
"14760.632753484","88","88","88"
"14775.631864337","99","99","99"
"14790.632267918","93","93","93"
"14805.633088955","77","77","77"
"14820.633873921","90","90","90"
"14835.632267582","86","86","86"
"14850.632462156","91","91","91"
"14865.633427365","96","96","96"
"14880.634475258","95","95","95"
"14895.632671379","93","93","93"
"14910.63252247","90","90","90"
"14925.632309261","95","95","95"
"14940.633669224","89","89","89"
"14955.63246415","91","91","91"
"14970.631922114","94","94","94"
"14985.632745504","93","93","93"
"15000.632998514","92","92","92"
"15015.63230211","93","93","93"
"15030.633806099","94","94","94"
"15045.632482134","87","87","87"
"15060.633201675","93","93","93"
"15075.634016548","82","82","82"
"15090.632392366","96","96","96"
"15105.631744133","78","78","78"
"15120.631757295","68","68","68"
"15135.633158036","90","90","90"
"15150.632965779","95","95","95"
"15165.632311399","61","61","61"
"15180.632663791","94","94","94"
"15195.633485376","92","92","92"
"15210.633328298","84","84","84"
"15225.631825942","82","82","82"
"15240.632424408","96","96","96"
"15255.633067532","92","92","92"
"15270.636483439","94","94","94"
"15285.632644207","96","96","96"
"15300.632895672","97","97","97"
"15315.632449327","92","92","92"
"15330.63353734","88","88","88"
"15345.63253489","94","94","94"
"15360.632463451","93","93","93"
"15375.632158834","86","86","86"
"15390.633875563","84","84","84"
"15405.633108171","83","83","83"
"15420.632108765","92","92","92"
"15435.632414081","96","96","96"
"15450.633876121","93","93","93"
"15465.634925706","94","94","94"
"15480.632145831","93","93","93"
"15495.633452778","75","75","75"
"15510.632845343","87","87","87"
"15525.635143461","96","96","96"
"15540.631907683","97","97","97"
"15555.632508184","87","87","87"
"15570.632415563","88","88","88"
"15585.633663465","88","88","88"
"15600.632921142","91","91","91"
"15615.632791498","96","96","96"
"15630.632501684","85","85","85"
"15645.63302527","93","93","93"
"15660.633150437","98","98","98"
"15675.632486607","84","84","84"
"15690.632345094","66","66","66"
"15705.633272498","81","81","81"
"15720.634477608","97","97","97"
"15735.632464885","82","82","82"
"15750.632642933","94","94","94"
"15765.632805887","94","94","94"
"15780.632788922","87","87","87"
"15795.632156706","87","87","87"
"15810.631986703","88","88","88"
"15825.632488388","80","80","80"
"15840.633360849","88","88","88"
"15855.632361372","94","94","94"
"15870.632576117","90","90","90"
"15885.631900608","91","91","91"
"15900.635492026","82","82","82"
"15915.631970446","80","80","80"
"15930.632598758","97","97","97"
"15945.632891175","92","92","92"
"15960.633436876","90","90","90"
"15975.634416029","86","86","86"
"15990.632169228","80","80","80"
"16005.632510287","94","94","94"
"16020.632841967","90","90","90"
"16035.636067485","82","82","82"
"16050.631844268","95","95","95"
"16065.632151426","96","96","96"
"16080.632791809","87","87","87"
"16095.637171675","93","93","93"
"16110.632760683","84","84","84"
"16125.632068926","95","95","95"
"16140.632587009","99","99","99"
"16155.633224905","91","91","91"
"16170.632666864","90","90","90"
"16185.632827368","99","99","99"
"16200.632503666","88","88","88"
"16215.632231552","92","92","92"
"16230.633977431","92","92","92"
"16245.632665878","95","95","95"
"16260.632115221","93","93","93"
"16275.633080447","82","82","82"
"16290.635488896","84","84","84"
"16305.633159559","83","83","83"
"16320.632707565","91","91","91"
"16335.632294569","96","96","96"
"16350.633173676","89","89","89"
"16365.63474411","91","91","91"
"16380.632773887","92","92","92"
"16395.632250796","90","90","90"
"16410.633588764","93","93","93"
"16425.632654143","89","89","89"
"16440.63169469","83","83","83"
"16455.632713878","87","87","87"
"16470.633404275","90","90","90"
"16485.632881691","91","91","91"
"16500.632044203","78","78","78"
"16515.631967417","77","77","77"
"16530.6327648","75","75","75"
"16545.632539842","90","90","90"
"16560.632016022","92","92","92"
"16575.632946377","91","91","91"
"16590.633165472","99","99","99"
"16605.633062954","87","87","87"
"16620.632818857","82","82","82"
"16635.632810141","79","79","79"
"16650.63522818","88","88","88"
"16665.63267336","91","91","91"
"16680.632453419","94","94","94"
"16695.632432446","92","92","92"
"16710.635076046","84","84","84"
"16725.631915262","69","69","69"
"16740.632495373","94","94","94"
"16755.63189356","91","91","91"
"16770.634302146","92","92","92"
"16785.632301961","90","90","90"
"16800.632921773","91","91","91"
"16815.633196959","91","91","91"
"16830.634343249","88","88","88"
"16845.632573626","92","92","92"
"16860.632277776","84","84","84"
"16875.633203198","88","88","88"
"16890.635029264","90","90","90"
"16905.632354564","89","89","89"
"16920.632313195","77","77","77"
"16935.631720807","86","86","86"
"16950.635661593","85","85","85"
"16965.632830797","94","94","94"
"16980.631783204","97","97","97"
"16995.632490347","98","98","98"
"17010.635472436","96","96","96"
"17025.632361366","96","96","96"
"17040.63203744","87","87","87"
"17055.632556636","88","88","88"
"17070.634605986","94","94","94"
"17085.631907306","78","78","78"
"17100.632650821","79","79","79"
"17115.632471463","92","92","92"
"17130.632930567","89","89","89"
"17145.633046904","94","94","94"
"17160.632564885","91","91","91"
"17175.632581354","89","89","89"
"17190.633459937","94","94","94"
"17205.633064811","87","87","87"
"17220.632754745","88","88","88"
"17235.632865896","86","86","86"
"17250.633237751","93","93","93"
"17265.63261136","95","95","95"
"17280.632784976","98","98","98"
"17295.631955926","90","90","90"
"17310.638219563","93","93","93"
"17325.63328392","85","85","85"
"17340.631786848","90","90","90"
"17355.632398664","89","89","89"
"17370.632933898","89","89","89"
"17385.633105651","86","86","86"
"17400.631668739","75","75","75"
"17415.632460269","92","92","92"
"17430.633119303","87","87","87"
"17445.633775799","90","90","90"
"17460.631961268","89","89","89"
"17475.63151303","94","94","94"
"17490.633551519","94","94","94"
"17505.634689448","89","89","89"
"17520.632838325","60","60","60"
"17535.632895676","90","90","90"
"17550.631861437","97","97","97"
"17565.632858083","95","95","95"
"17580.632521851","95","95","95"
"17595.632246501","94","94","94"
"17610.632926949","89","89","89"
"17625.633225731","95","95","95"
"17640.63283706","91","91","91"
"17655.631902915","89","89","89"
"17670.6327814","91","91","91"
"17685.633403809","90","90","90"
"17700.632237647","90","90","90"
"17715.63193197","97","97","97"
"17730.631820094","89","89","89"
"17745.632892426","97","97","97"
"17760.632374116","95","95","95"
"17775.63209637","90","90","90"
"17790.632392189","92","92","92"
"17805.635575034","96","96","96"
"17820.633339364","94","94","94"
"17835.632685313","83","83","83"
"17850.632731059","91","91","91"
"17865.633670063","94","94","94"
"17880.634261995","90","90","90"
"17895.631860312","99","99","99"
"17910.632792954","93","93","93"
"17925.631784845","81","81","81"
"17940.63543057","97","97","97"
"17955.631837901","94","94","94"
"17970.632794477","94","94","94"
"17985.632941547","90","90","90"
"18000.635062258","89","89","89"
"18015.632573426","89","89","89"
"18030.632106274","90","90","90"
"18045.631797624","92","92","92"
"18060.633017506","81","81","81"
"18075.632783293","85","85","85"
"18090.632585424","87","87","87"
"18105.632939384","77","77","77"
"18120.633960755","88","88","88"
"18135.632657942","92","92","92"
"18150.631919678","80","80","80"
"18165.632794855","89","89","89"
"18180.63353157","88","88","88"
"18195.633317261","90","90","90"
"18210.632378352","88","88","88"
"18225.632838416","92","92","92"
"18240.633988485","84","84","84"
"18255.633884318","90","90","90"
"18270.632675928","94","94","94"
"18285.632719815","91","91","91"
"18300.633275783","93","93","93"
"18315.632619796","91","91","91"
"18330.63249396","97","97","97"
"18345.632500408","93","93","93"
"18360.632768114","95","95","95"
"18375.635744993","86","86","86"
"18390.63183925","85","85","85"
"18405.632034799","89","89","89"
"18420.631850143","89","89","89"
"18435.63445738","90","90","90"
"18450.632499192","81","81","81"
"18465.631724711","85","85","85"
"18480.632029004","90","90","90"
"18495.633255036","90","90","90"
"18510.63299026","96","96","96"
"18525.631782402","73","73","73"
"18540.632738679","91","91","91"
"18555.633583933","80","80","80"
"18570.634062643","95","95","95"
"18585.632294005","90","90","90"
"18600.632845037","95","95","95"
"18615.63393936","90","90","90"
"18630.633722502","96","96","96"
"18645.632438567","85","85","85"
"18660.632059973","95","95","95"
"18675.633693655","89","89","89"
"18690.634599066","95","95","95"
"18705.632902541","90","90","90"
"18720.632981442","86","86","86"
"18735.632497239","95","95","95"
"18750.633034565","100","100","100"
"18765.632299682","88","88","88"
"18780.632255543","85","85","85"
"18795.632174923","90","90","90"
"18810.633171991","86","86","86"
"18825.632622089","89","89","89"
"18840.632753046","89","89","89"
"18855.632321245","88","88","88"
"18870.635660507","83","83","83"
"18885.63260127","88","88","88"
"18900.63230072","95","95","95"
"18915.631955255","94","94","94"
"18930.636117086","90","90","90"
"18945.633045038","89","89","89"
"18960.632360865","89","89","89"
"18975.632691519","76","76","76"
"18990.631896518","87","87","87"
"19005.6341918","90","90","90"
"19020.632527028","97","97","97"
"19035.63224364","74","74","74"
"19050.63325814","92","92","92"
"19065.635106731","95","95","95"
"19080.632011524","87","87","87"
"19095.632684677","89","89","89"
"19110.632831166","94","94","94"
"19125.633967616","73","73","73"
"19140.631940676","85","85","85"
"19155.632351694","95","95","95"
"19170.632533116","92","92","92"
"19185.637377","87","87","87"
"19200.6326963","98","98","98"
"19215.632246141","89","89","89"
"19230.632837573","95","95","95"
"19245.633246017","92","92","92"
"19260.632622403","92","92","92"
"19275.631522354","91","91","91"
"19290.631937061","97","97","97"
"19305.633443648","97","97","97"
"19320.633505975","79","79","79"
"19335.632673947","90","90","90"
"19350.631908337","93","93","93"
"19365.632633148","95","95","95"
"19380.634616981","90","90","90"
"19395.632620701","85","85","85"
"19410.632342858","79","79","79"
"19425.632525005","81","81","81"
"19440.63284482","88","88","88"
"19455.632131143","92","92","92"
"19470.631914017","91","91","91"
"19485.632945597","99","99","99"
"19500.633009551","89","89","89"
"19515.632170987","71","71","71"
"19530.632606662","90","90","90"
"19545.631960355","92","92","92"
"19560.633216288","95","95","95"
"19575.632627706","91","91","91"
"19590.632343162","97","97","97"
"19605.632068612","91","91","91"
"19620.633119016","87","87","87"
"19635.63302889","94","94","94"
"19650.632360402","95","95","95"
"19665.632179583","81","81","81"
"19680.632724055","96","96","96"
"19695.63247347","85","85","85"
"19710.632167502","97","97","97"
"19725.631787218","95","95","95"
"19740.632070837","92","92","92"
"19755.634979263","95","95","95"
"19770.632308652","97","97","97"
"19785.632872253","83","83","83"
"19800.633135577","89","89","89"
"19815.636176137","92","92","92"
"19830.631977613","88","88","88"
"19845.631926012","90","90","90"
"19860.632435897","72","72","72"
"19875.63328258","82","82","82"
"19890.632124138","90","90","90"
"19905.63292887","95","95","95"
"19920.632417665","88","88","88"
"19935.633028311","76","76","76"
"19950.632830111","79","79","79"
"19965.63230092","90","90","90"
"19980.632582389","98","98","98"
"19995.633318181","91","91","91"
"20010.633606507","99","99","99"
"20025.632131793","91","91","91"
"20040.632750221","93","93","93"
"20055.633851811","83","83","83"
"20070.634759956","86","86","86"
"20085.63211664","98","98","98"
"20100.632576434","91","91","91"
"20115.633257655","89","89","89"
"20130.632693836","87","87","87"
"20145.632939952","95","95","95"
"20160.632514952","97","97","97"
"20175.632838211","98","98","98"
"20190.635900081","89","89","89"
"20205.632496044","93","93","93"
"20220.631918887","84","84","84"
"20235.632285509","85","85","85"
"20250.632647985","95","95","95"
"20265.632552863","90","90","90"
"20280.631877702","94","94","94"
"20295.63268022","94","94","94"
"20310.63374814","78","78","78"
"20325.633173872","97","97","97"
"20340.632984825","81","81","81"
"20355.632489229","80","80","80"
"20370.633471801","89","89","89"
"20385.634095526","83","83","83"
"20400.632730241","85","85","85"
"20415.632782288","92","92","92"
"20430.631809494","72","72","72"
"20445.633869229","76","76","76"
"20460.632923029","93","93","93"
"20475.632859869","89","89","89"
"20490.632733448","94","94","94"
"20505.632592288","88","88","88"
"20520.631952035","92","92","92"
"20535.63184676","79","79","79"
"20550.632447405","92","92","92"
"20565.633489034","76","76","76"
"20580.632691782","91","91","91"
"20595.632710912","91","91","91"
"20610.632613727","92","92","92"
"20625.633376705","78","78","78"
"20640.634160178","85","85","85"
"20655.632018191","95","95","95"
"20670.63190753","88","88","88"
"20685.631963682","89","89","89"
"20700.633277067","93","93","93"
"20715.63246217","92","92","92"
"20730.632123513","90","90","90"
"20745.632744","69","69","69"
"20760.632897521","91","91","91"
"20775.632546036","87","87","87"
"20790.632947558","91","91","91"
"20805.631878567","83","83","83"
"20820.633615923","89","89","89"
"20835.633848836","84","84","84"
"20850.631926025","89","89","89"
"20865.632456465","92","92","92"
"20880.632416508","94","94","94"
"20895.634619544","91","91","91"
"20910.632668719","90","90","90"
"20925.632322171","74","74","74"
"20940.63279332","96","96","96"
"20955.633549252","96","96","96"
"20970.632462755","94","94","94"
"20985.632319105","77","77","77"
"21000.63193388","96","96","96"
"21015.633212209","95","95","95"
"21030.633935688","75","75","75"
"21045.632926785","92","92","92"
"21060.632225753","88","88","88"
"21075.633876334","65","65","65"
"21090.635678644","76","76","76"
"21105.632591249","79","79","79"
"21120.632059507","74","74","74"
"21135.631759319","79","79","79"
"21150.633430056","88","88","88"
"21165.632474733","90","90","90"
"21180.632261722","95","95","95"
"21195.631669189","97","97","97"
"21210.633818","92","92","92"
"21225.63258177","97","97","97"
"21240.633013479","83","83","83"
"21255.631803472","91","91","91"
"21270.633526396","89","89","89"
"21285.633663639","79","79","79"
"21300.632114025","95","95","95"
"21315.632570285","96","96","96"
"21330.632388808","90","90","90"
"21345.635082593","95","95","95"
"21360.632518372","97","97","97"
"21375.631906149","84","84","84"
"21390.632770435","90","90","90"
"21405.633685178","91","91","91"
"21420.632498942","95","95","95"
"21435.631964557","91","91","91"
"21450.632948805","95","95","95"
"21465.633649557","89","89","89"
"21480.632674528","96","96","96"
"21495.632674332","92","92","92"
"21510.632327391","94","94","94"
"21525.633748658","93","93","93"
"21540.633244563","87","87","87"
"21555.632172021","86","86","86"
"21570.632041854","84","84","84"
"21585.633848688","81","81","81"
"21600.634702752","92","92","92"
"21615.632945067","91","91","91"
"21630.631636176","96","96","96"
"21645.632549787","97","97","97"
"21660.633801299","77","77","77"
"21675.631860084","100","100","100"
"21690.632070695","92","92","92"
"21705.632106529","91","91","91"
"21720.63736993","79","79","79"
"21735.631986553","94","94","94"
"21750.632119842","91","91","91"
"21765.631768555","93","93","93"
"21780.633606913","85","85","85"
"21795.633181553","91","91","91"
"21810.632274959","92","92","92"
"21825.632056082","86","86","86"
"21840.632989763","86","86","86"
"21855.633983903","81","81","81"
"21870.632826796","91","91","91"
"21885.632036289","87","87","87"
"21900.632452716","86","86","86"
"21915.635550538","84","84","84"
"21930.632088411","90","90","90"
"21945.63265635","91","91","91"
"21960.632329788","99","99","99"
"21975.632997956","94","94","94"
"21990.632787665","94","94","94"
"22005.632615918","89","89","89"
"22020.632525614","91","91","91"
"22035.633693333","90","90","90"
"22050.632800499","88","88","88"
"22065.632304473","91","91","91"
"22080.632361034","92","92","92"
"22095.636030226","90","90","90"
"22110.633148878","95","95","95"
"22125.632009204","70","70","70"
"22140.632632096","92","92","92"
"22155.631834833","96","96","96"
"22170.634496254","79","79","79"
"22185.631893885","81","81","81"
"22200.632761217","96","96","96"
"22215.631938478","87","87","87"
"22230.635888654","67","67","67"
"22245.632472693","97","97","97"
"22260.632137027","97","97","97"
"22275.631783495","96","96","96"
"22290.633338158","92","92","92"
"22305.632366071","89","89","89"
"22320.632102665","89","89","89"
"22335.632040806","95","95","95"
"22350.638291353","95","95","95"
"22365.632546871","92","92","92"
"22380.632508062","82","82","82"
"22395.632335282","85","85","85"
"22410.633402762","87","87","87"
"22425.633801879","98","98","98"
"22440.632598435","65","65","65"
"22455.632148365","64","64","64"
"22470.632521644","67","67","67"
"22485.635232717","64","64","64"
"22500.631749116","69","69","69"
"22515.631767395","65","65","65"
"22530.632494596","72","72","72"
"22545.633484907","63","63","63"
"22560.632142031","73","73","73"
"22575.63230007","71","71","71"
"22590.631995019","72","72","72"
"22605.6336709","68","68","68"
"22620.631963971","69","69","69"
"22635.632349656","64","64","64"
"22650.632529788","72","72","72"
"22665.632798974","66","66","66"
"22680.633199695","68","68","68"
"22695.63239303","72","72","72"
"22710.63233322","67","67","67"
"22725.633679947","66","66","66"
"22740.633744811","60","60","60"
"22755.632538019","69","69","69"
"22770.632066942","67","67","67"
"22785.631989501","62","62","62"
"22800.634857333","66","66","66"
"22815.632663125","64","64","64"
"22830.632179134","61","61","61"
"22845.632514495","68","68","68"
"22860.633069846","63","63","63"
"22875.632387379","71","71","71"
"22890.632360203","69","69","69"
"22905.631934837","70","70","70"
"22920.633404487","71","71","71"
"22935.632784259","68","68","68"
"22950.632258622","65","65","65"
"22965.632184449","66","66","66"
"22980.63847712","72","72","72"
"22995.633649501","70","70","70"
"23010.632094748","67","67","67"
"23025.63224445","67","67","67"
"23040.632925978","69","69","69"
"23055.633574086","60","60","60"
"23070.632241109","71","71","71"
"23085.632079832","65","65","65"
"23100.632016068","66","66","66"
"23115.634718603","68","68","68"
"23130.632632264","64","64","64"
"23145.632656241","58","58","58"
"23160.632048679","67","67","67"
"23175.631688194","0","0","0"
"23190.632635681","0","0","0"
"23205.632630085","0","0","0"
"23220.632464372","88","88","88"
"23235.633132294","95","95","95"
"23250.632856932","85","85","85"
"23265.632513807","89","89","89"
"23280.632502776","86","86","86"
"23295.633615393","94","94","94"
"23310.633344051","72","72","72"
"23325.632531133","94","94","94"
"23340.632194257","88","88","88"
"23355.632839723","97","97","97"
"23370.633715604","79","79","79"
"23385.63214846","83","83","83"
"23400.632738354","82","82","82"
"23415.631994395","96","96","96"
"23430.635131892","86","86","86"
"23445.632622494","95","95","95"
"23460.632837381","94","94","94"
"23475.632621491","95","95","95"
"23490.633071654","94","94","94"
"23505.632332486","82","82","82"
"23520.63247611","94","94","94"
"23535.631965188","89","89","89"
"23550.632933862","93","93","93"
"23565.632907008","77","77","77"
"23580.632375743","87","87","87"
"23595.632500017","75","75","75"
"23610.636983402","67","67","67"
"23625.632802329","88","88","88"
"23640.631945641","88","88","88"
"23655.632024013","92","92","92"
"23670.633374662","79","79","79"
"23685.633890438","95","95","95"
"23700.632653093","90","90","90"
"23715.632669029","97","97","97"
"23730.63321485","91","91","91"
"23745.635248776","95","95","95"
"23760.632700633","87","87","87"
"23775.632895346","89","89","89"
"23790.632599814","84","84","84"
"23805.633309084","94","94","94"
"23820.632727637","98","98","98"
"23835.632441677","93","93","93"
"23850.632611247","97","97","97"
"23865.632849433","94","94","94"
"23880.632669236","96","96","96"
"23895.632705429","86","86","86"
"23910.632300066","99","99","99"
"23925.633734557","86","86","86"
"23940.633178895","85","85","85"
"23955.631893168","95","95","95"
"23970.631987636","93","93","93"
"23985.63288939","90","90","90"
"24000.633894138","87","87","87"
"24015.632174489","98","98","98"
"24030.632808566","94","94","94"
"24045.632041613","93","93","93"
"24060.634958939","99","99","99"
"24075.632060618","82","82","82"
"24090.632634746","87","87","87"
"24105.632775813","89","89","89"
"24120.633076283","90","90","90"
"24135.632177661","97","97","97"
"24150.63274759","87","87","87"
"24165.631866402","97","97","97"
"24180.633299563","77","77","77"
"24195.632986934","76","76","76"
"24210.632283373","98","98","98"
"24225.632428235","95","95","95"
"24240.633678417","86","86","86"
"24255.634505712","88","88","88"
"24270.632865874","95","95","95"
"24285.631775188","91","91","91"
"24300.632165008","62","62","62"
"24315.63426399","85","85","85"
"24330.631672182","82","82","82"
"24345.633041066","72","72","72"
"24360.63216239","99","99","99"
"24375.635146869","77","77","77"
"24390.632301928","93","93","93"
"24405.63234146","90","90","90"
"24420.632799788","94","94","94"
"24435.633167979","83","83","83"
"24450.632582221","92","92","92"
"24465.632231386","93","93","93"
"24480.632543018","80","80","80"
"24495.633063075","91","91","91"
"24510.632675435","85","85","85"
"24525.632729462","90","90","90"
"24540.632233148","95","95","95"
"24555.633329514","88","88","88"
"24570.633344732","93","93","93"
"24585.632327085","89","89","89"
"24600.63238201","84","84","84"
"24615.632238756","93","93","93"
"24630.634112717","77","77","77"
"24645.632318939","98","98","98"
"24660.632519944","94","94","94"
"24675.632594986","95","95","95"
"24690.63362492","86","86","86"
"24705.632884068","58","58","58"
"24720.632434473","95","95","95"
"24735.631989888","95","95","95"
"24750.633782427","92","92","92"
"24765.63448523","96","96","96"
"24780.632837191","90","90","90"
"24795.632561754","91","91","91"
"24810.631780508","91","91","91"
"24825.633066284","97","97","97"
"24840.632747923","97","97","97"
"24855.632411546","90","90","90"
"24870.631999749","91","91","91"
"24885.633755357","89","89","89"
"24900.634410541","94","94","94"
"24915.632160139","89","89","89"
"24930.631779692","92","92","92"
"24945.632986056","97","97","97"
"24960.633247242","97","97","97"
"24975.632090313","92","92","92"
"24990.632137137","96","96","96"
"25005.632447885","84","84","84"
"25020.633327836","96","96","96"
"25035.632281189","96","96","96"
"25050.632945962","90","90","90"
"25065.631926812","95","95","95"
"25080.6325206","91","91","91"
"25095.632434304","89","89","89"
"25110.632301613","97","97","97"
"25125.63209602","92","92","92"
"25140.631725327","82","82","82"
"25155.63315732","78","78","78"
"25170.632404905","92","92","92"
"25185.632616936","89","89","89"
"25200.632179437","75","75","75"
"25215.633547465","95","95","95"
"25230.633569625","97","97","97"
"25245.632123404","92","92","92"
"25260.632683838","96","96","96"
"25275.632398513","87","87","87"
"25290.634741857","93","93","93"
"25305.63235419","91","91","91"
"25320.631887233","95","95","95"
"25335.632502793","77","77","77"
"25350.633824392","84","84","84"
"25365.63157413","81","81","81"
"25380.631922894","89","89","89"
"25395.632548291","95","95","95"
"25410.633665427","91","91","91"
"25425.633067807","93","93","93"
"25440.631872428","92","92","92"
"25455.632359173","88","88","88"
"25470.633761357","95","95","95"
"25485.634594982","86","86","86"
"25500.632652002","89","89","89"
"25515.63199837","78","78","78"
"25530.632168577","86","86","86"
"25545.636424654","98","98","98"
"25560.632663782","89","89","89"
"25575.632357454","90","90","90"
"25590.632275057","98","98","98"
"25605.6334367","92","92","92"
"25620.631769264","95","95","95"
"25635.632320809","94","94","94"
"25650.63197289","89","89","89"
"25665.632340414","95","95","95"
"25680.633784867","89","89","89"
"25695.631884915","88","88","88"
"25710.632257148","96","96","96"
"25725.631793887","85","85","85"
"25740.635344817","97","97","97"
"25755.632041912","91","91","91"
"25770.632090876","92","92","92"
"25785.632473672","88","88","88"
"25800.6335153","82","82","82"
"25815.632620503","95","95","95"
"25830.632299855","97","97","97"
"25845.632756263","78","78","78"
"25860.632998246","80","80","80"
"25875.633312823","95","95","95"
"25890.632655752","90","90","90"
"25905.631946264","96","96","96"
"25920.633032323","90","90","90"
"25935.634156789","90","90","90"
"25950.631964963","96","96","96"
"25965.632382578","86","86","86"
"25980.632130879","74","74","74"
"25995.632764616","92","92","92"
"26010.632992943","90","90","90"
"26025.632366959","92","92","92"
"26040.632586457","89","89","89"
"26055.632913403","90","90","90"
"26070.632532867","92","92","92"
"26085.632173273","92","92","92"
"26100.631937156","97","97","97"
"26115.633428735","86","86","86"
"26130.633855111","92","92","92"
"26145.632581158","87","87","87"
"26160.632832832","93","93","93"
"26175.63409745","88","88","88"
"26190.635379318","95","95","95"
"26205.63207458","74","74","74"
"26220.632591558","97","97","97"
"26235.632744052","88","88","88"
"26250.634714373","70","70","70"
"26265.632181295","89","89","89"
"26280.631764828","93","93","93"
"26295.632231122","96","96","96"
"26310.633731989","88","88","88"
"26325.632467264","94","94","94"
"26340.632487918","88","88","88"
"26355.63219848","93","93","93"
"26370.633982879","97","97","97"
"26385.63343399","99","99","99"
"26400.63265726","91","91","91"
"26415.632705064","94","94","94"
"26430.632669338","95","95","95"
"26445.634539117","89","89","89"
"26460.632454699","94","94","94"
"26475.631595218","95","95","95"
"26490.63228892","95","95","95"
"26505.635037765","88","88","88"
"26520.632856697","89","89","89"
"26535.632240493","85","85","85"
"26550.632323653","88","88","88"
"26565.633044693","95","95","95"
"26580.632167331","95","95","95"
"26595.631944692","85","85","85"
"26610.632848719","87","87","87"
"26625.636019884","95","95","95"
"26640.633307998","92","92","92"
"26655.632802126","96","96","96"
"26670.632823708","92","92","92"
"26685.633099004","94","94","94"
"26700.634642751","72","72","72"
"26715.632552466","93","93","93"
"26730.63273855","88","88","88"
"26745.633841281","95","95","95"
"26760.632511599","93","93","93"
"26775.632618633","91","91","91"
"26790.632597305","87","87","87"
"26805.638318877","94","94","94"
"26820.633212168","98","98","98"
"26835.632827175","82","82","82"
"26850.632668944","92","92","92"
"26865.63349631","98","98","98"
"26880.632285924","92","92","92"
"26895.632307949","89","89","89"
"26910.632876348","92","92","92"
"26925.632775519","90","90","90"
"26940.632878728","91","91","91"
"26955.632436493","68","68","68"
"26970.632876903","86","86","86"
"26985.635986597","83","83","83"
"27000.632269025","95","95","95"
"27015.63228462","91","91","91"
"27030.632950344","90","90","90"
"27045.635773803","85","85","85"
"27060.632549601","96","96","96"
"27075.63206517","89","89","89"
"27090.632051549","94","94","94"
"27105.635189323","81","81","81"
"27120.632169836","92","92","92"
"27135.632018047","86","86","86"
"27150.632022269","85","85","85"
"27165.634511107","91","91","91"
"27180.632650726","87","87","87"
"27195.632014398","91","91","91"
"27210.631794846","93","93","93"
"27225.634625206","91","91","91"
"27240.631991469","90","90","90"
"27255.632844687","94","94","94"
"27270.632317825","89","89","89"
"27285.634757154","92","92","92"
"27300.632985755","87","87","87"
"27315.632916836","87","87","87"
"27330.63232608","97","97","97"
"27345.635113124","94","94","94"
"27360.6328288","89","89","89"
"27375.632304063","94","94","94"
