"Relative Time (Process)","train50-dali-all-CPU-processing - system/gpu.0.gpu","train50-dali-all-CPU-processing - system/gpu.0.gpu__MIN","train50-dali-all-CPU-processing - system/gpu.0.gpu__MAX"
"3180.614927007","89","89","89"
"3195.615670006","99","99","99"
"3210.615380766","85","85","85"
"3225.615644252","89","89","89"
"3240.615420315","91","91","91"
"3255.614769634","87","87","87"
"3270.615605375","84","84","84"
"3285.615505587","87","87","87"
"3300.615535109","83","83","83"
"3315.615398962","86","86","86"
"3330.615284913","0","0","0"
"3345.615989163","92","92","92"
"3360.614677305","84","84","84"
"3375.615041856","89","89","89"
"3390.61706471","80","80","80"
"3405.618471889","84","84","84"
"3420.61481866","82","82","82"
"3435.614880364","86","86","86"
"3450.614987783","83","83","83"
"3465.617240246","93","93","93"
"3480.615118445","81","81","81"
"3495.61560595","68","68","68"
"3510.615547485","97","97","97"
"3525.615790835","77","77","77"
"3540.617070217","94","94","94"
"3555.615081096","93","93","93"
"3570.615234537","66","66","66"
"3585.615389514","90","90","90"
"3600.61548707","93","93","93"
"3615.615172209","73","73","73"
"3630.615421165","87","87","87"
"3645.615687842","93","93","93"
"3660.616652284","27","27","27"
"3675.616273326","88","88","88"
"3690.61532056","95","95","95"
"3705.615786905","95","95","95"
"3720.615476944","90","90","90"
"3735.617503076","89","89","89"
"3750.615059563","85","85","85"
"3765.615715945","92","92","92"
"3780.614979648","98","98","98"
"3795.616420778","99","99","99"
"3810.61523712","79","79","79"
"3825.614543177","89","89","89"
"3840.615580675","83","83","83"
"3855.616294475","91","91","91"
"3870.616048229","98","98","98"
"3885.614982478","78","78","78"
"3900.615588623","92","92","92"
"3915.615667796","83","83","83"
"3930.617329003","79","79","79"
"3945.615072057","91","91","91"
"3960.614544603","72","72","72"
"3975.614890382","84","84","84"
"3990.616522784","75","75","75"
"4005.615350516","86","86","86"
"4020.615440666","85","85","85"
"4035.614849377","73","73","73"
"4050.62083089","98","98","98"
"4065.615298257","60","60","60"
"4080.615097289","94","94","94"
"4095.61492635","94","94","94"
"4110.61576322","84","84","84"
"4125.616637754","90","90","90"
"4140.61466953","87","87","87"
"4155.614848284","86","86","86"
"4170.61510189","90","90","90"
"4185.617408167","81","81","81"
"4200.614443578","89","89","89"
"4215.614832095","94","94","94"
"4230.61544203","91","91","91"
"4245.615640684","88","88","88"
"4260.614990241","91","91","91"
"4275.614944107","88","88","88"
"4290.615174229","99","99","99"
"4305.616497594","76","76","76"
"4320.61609888","88","88","88"
"4335.61470168","79","79","79"
"4350.615118234","86","86","86"
"4365.616411072","89","89","89"
"4380.61699987","88","88","88"
"4395.614943795","84","84","84"
"4410.61587309","83","83","83"
"4425.615188624","93","93","93"
"4440.617732602","84","84","84"
"4455.614537182","88","88","88"
"4470.61523678","87","87","87"
"4485.615480917","90","90","90"
"4500.615749054","91","91","91"
"4515.615327107","91","91","91"
"4530.615348705","93","93","93"
"4545.615075559","90","90","90"
"4560.616359033","90","90","90"
"4575.616052044","96","96","96"
"4590.615455165","94","94","94"
"4605.61460272","81","81","81"
"4620.616378465","95","95","95"
"4635.617168557","90","90","90"
"4650.615345236","92","92","92"
"4665.614758256","89","89","89"
"4680.615099927","85","85","85"
"4695.618628105","90","90","90"
"4710.615418006","91","91","91"
"4725.615397958","90","90","90"
"4740.61512546","90","90","90"
"4755.618946453","94","94","94"
"4770.615474082","86","86","86"
"4785.61494893","85","85","85"
"4800.615271894","89","89","89"
"4815.61572379","96","96","96"
"4830.615388467","87","87","87"
"4845.615327247","92","92","92"
"4860.615313756","95","95","95"
"4875.616411029","88","88","88"
"4890.616735199","92","92","92"
"4905.615598197","79","79","79"
"4920.615662217","91","91","91"
"4935.615054692","82","82","82"
"4950.616857178","84","84","84"
"4965.614762032","100","100","100"
"4980.614996046","89","89","89"
"4995.615664223","88","88","88"
"5010.615833994","94","94","94"
"5025.614692503","94","94","94"
"5040.614705156","67","67","67"
"5055.616097718","93","93","93"
"5070.615036948","86","86","86"
"5085.615475697","89","89","89"
"5100.615673408","85","85","85"
"5115.616290902","94","94","94"
"5130.615642765","79","79","79"
"5145.615060759","90","90","90"
"5160.61500795","86","86","86"
"5175.616472868","88","88","88"
"5190.61564689","94","94","94"
"5205.615228572","83","83","83"
"5220.615567187","91","91","91"
"5235.615369893","78","78","78"
"5250.61485004","86","86","86"
"5265.615453712","86","86","86"
"5280.615481178","92","92","92"
"5295.622367276","89","89","89"
"5310.615163998","91","91","91"
"5325.615361925","80","80","80"
"5340.614768891","85","85","85"
"5355.615820214","76","76","76"
"5370.615305448","94","94","94"
"5385.615046778","91","91","91"
"5400.615364902","89","89","89"
"5415.618314126","98","98","98"
"5430.615202467","94","94","94"
"5445.614733835","95","95","95"
"5460.61517047","86","86","86"
"5475.616112791","90","90","90"
"5490.614891261","95","95","95"
"5505.615337549","96","96","96"
"5520.615619571","94","94","94"
"5535.616508125","94","94","94"
"5550.615451811","92","92","92"
"5565.615483657","88","88","88"
"5580.615549794","91","91","91"
"5595.616386515","91","91","91"
"5610.615287713","92","92","92"
"5625.614913038","86","86","86"
"5640.61552705","85","85","85"
"5655.616243168","74","74","74"
"5670.614937199","58","58","58"
"5685.615255235","72","72","72"
"5700.614529433","79","79","79"
"5715.615580296","95","95","95"
"5730.614969973","89","89","89"
"5745.614859639","87","87","87"
"5760.615523782","90","90","90"
"5775.616164064","95","95","95"
"5790.615609606","88","88","88"
"5805.614543935","83","83","83"
"5820.615231049","88","88","88"
"5835.616491043","83","83","83"
"5850.615870254","87","87","87"
"5865.61526176","77","77","77"
"5880.615401339","96","96","96"
"5895.616305957","95","95","95"
"5910.615229231","90","90","90"
"5925.614964075","76","76","76"
"5940.615535635","92","92","92"
"5955.615970073","90","90","90"
"5970.616590046","68","68","68"
"5985.61519133","88","88","88"
"6000.614848918","90","90","90"
"6015.615984651","68","68","68"
"6030.617320028","86","86","86"
"6045.615458085","84","84","84"
"6060.615199554","82","82","82"
"6075.614785534","99","99","99"
"6090.617507249","83","83","83"
"6105.615288716","91","91","91"
"6120.614925631","91","91","91"
"6135.615415075","72","72","72"
"6150.616294583","90","90","90"
"6165.615547064","54","54","54"
"6180.614823379","88","88","88"
"6195.614661184","73","73","73"
"6210.615702959","86","86","86"
"6225.614994629","90","90","90"
"6240.614618425","82","82","82"
"6255.615002693","94","94","94"
"6270.616114963","83","83","83"
"6285.615249693","89","89","89"
"6300.614940401","93","93","93"
"6315.615033088","87","87","87"
"6330.616242749","85","85","85"
"6345.615486763","66","66","66"
"6360.614920917","88","88","88"
"6375.615406237","84","84","84"
"6390.616207744","96","96","96"
"6405.616442306","77","77","77"
"6420.615661863","93","93","93"
"6435.615653833","54","54","54"
"6450.615901886","93","93","93"
"6465.617433325","88","88","88"
"6480.614789448","99","99","99"
"6495.614994238","92","92","92"
"6510.615307392","87","87","87"
"6525.618676038","88","88","88"
"6540.615222081","97","97","97"
"6555.615653234","93","93","93"
"6570.615373994","89","89","89"
"6585.615733162","79","79","79"
"6600.615323174","90","90","90"
"6615.615165965","86","86","86"
"6630.615064897","94","94","94"
"6645.61908219","89","89","89"
"6660.615461349","99","99","99"
"6675.615399656","90","90","90"
"6690.61485833","74","74","74"
"6705.616292575","92","92","92"
"6720.61566406","91","91","91"
"6735.614700301","89","89","89"
"6750.614995647","93","93","93"
"6765.616816236","87","87","87"
"6780.616051912","79","79","79"
"6795.614787028","70","70","70"
"6810.61566317","92","92","92"
"6825.615973434","98","98","98"
"6840.616920077","94","94","94"
"6855.615333668","90","90","90"
"6870.614749388","92","92","92"
"6885.615844765","79","79","79"
"6900.617285885","90","90","90"
"6915.614702143","82","82","82"
"6930.615042109","70","70","70"
"6945.61536036","69","69","69"
"6960.618066637","72","72","72"
"6975.615161315","86","86","86"
"6990.615187914","86","86","86"
